universe,model,n_per_day_obs,n_cells,IC_mean,IC_mean_ci_lo,IC_mean_ci_hi,Sharpe_gross_mean,Sharpe_gross_std,Sharpe_gross_ci_lo,Sharpe_gross_ci_hi
B,GAT,3130,50,0.035523154244443654,0.018139339020461862,0.05259222626501011,1.497072,2.541259055539845,0.8161342499999998,2.203268099999998
B,SAGE-Mean,3130,50,0.031975385242309806,0.014389990556158121,0.049761036934712906,1.912134,3.0954974373658874,1.10132085,2.822229549999999
B,MLP,3130,50,0.02990144875558426,0.01570135619410382,0.044181946965290625,1.9933980000000002,4.9969307442726425,0.9316423,3.5670281999999998
B,LightGBM,3130,50,0.0064975753452593005,-0.006862214037297226,0.019449278343405086,-0.32874400000000004,4.384210766764326,-1.5627005499999997,0.8003144999999996
C,GAT,3130,50,0.043059306938201,0.02325931234945244,0.06279428253828759,3.6236520000000003,10.912374861713053,1.43522985,7.047235649999998
C,SAGE-Mean,3130,50,0.04796306275697854,0.03015649432066901,0.06612230908368893,1.6034580000000003,2.719848135848314,0.8640381500000002,2.3679264499999992
C,MLP,3130,50,0.053324575415600456,0.0353799950519427,0.0712718406573416,2.246724,3.835305903482771,1.24420755,3.3556242500000004
C,LightGBM,3130,50,0.04731827233993328,0.03360985946406143,0.061163577426871826,2.40713,3.348045824744912,1.5072012,3.387965349999999
