universe,model,fold,IC_mean_mean,IC_mean_std,Sharpe_gross_mean,Sharpe_gross_std,Sharpe_net_0bps_mean,Sharpe_net_0bps_std,Sharpe_net_5bps_mean,Sharpe_net_5bps_std,Sharpe_net_10bps_mean,Sharpe_net_10bps_std,Sharpe_net_15bps_mean,Sharpe_net_15bps_std,Sharpe_net_20bps_mean,Sharpe_net_20bps_std,Sharpe_net_30bps_mean,Sharpe_net_30bps_std
B,MLP,9,0.0648,0.0212,3.0625,1.0168,3.0625,1.0168,2.9439,1.0337,2.8255,1.0508,2.7074,1.068,2.5895,1.0853,2.3544,1.1201
B,MLP,10,0.0738,0.0078,4.0729,0.4809,4.0729,0.4809,3.9754,0.4769,3.877,0.4735,3.7777,0.4709,3.6774,0.4691,3.4742,0.468
B,MLP,11,0.0706,0.0071,1.8386,1.0395,1.8386,1.0395,1.7046,1.03,1.5678,1.0204,1.4281,1.0107,1.2852,1.0008,0.9901,0.9806
B,SAGE-Mean,0,-0.0147,0.0113,-0.0521,0.6203,-0.0521,0.6203,-0.1927,0.6368,-0.3315,0.6539,-0.4684,0.6717,-0.6036,0.6899,-0.8688,0.7275
B,SAGE-Mean,1,0.0039,0.0125,0.0083,0.4035,0.0083,0.4035,-0.1003,0.4009,-0.2075,0.4011,-0.3132,0.404,-0.4176,0.4094,-0.6222,0.427
B,SAGE-Mean,2,0.0733,0.0231,3.681,1.147,3.681,1.147,3.5404,1.1344,3.3992,1.1226,3.2575,1.1118,3.1152,1.1019,2.829,1.0851
B,SAGE-Mean,3,-0.0034,0.0347,0.9006,2.5796,0.9006,2.5796,0.7769,2.5124,0.6507,2.442,0.5218,2.3682,0.3901,2.2908,0.1179,2.1246
B,SAGE-Mean,4,0.0999,0.0945,5.0228,4.4691,5.0228,4.4691,4.817,4.4,4.6058,4.3275,4.3893,4.2519,4.1674,4.1733,3.7078,4.009
B,SAGE-Mean,5,-0.0464,0.0181,-1.8507,0.6938,-1.8507,0.6938,-1.9102,0.7119,-1.9695,0.7314,-2.0284,0.7521,-2.0871,0.774,-2.2035,0.8206
B,SAGE-Mean,6,-0.0345,0.0411,-1.4487,1.7171,-1.4487,1.7171,-1.6477,1.7583,-1.8476,1.805,-2.0484,1.8565,-2.2502,1.9122,-2.6571,2.0344
B,SAGE-Mean,7,-0.0041,0.0277,1.0928,1.578,1.0928,1.578,0.7496,1.5566,0.4102,1.56,0.0748,1.5865,-0.2566,1.6333,-0.9076,1.7753
B,SAGE-Mean,8,0.0611,0.0308,0.2467,1.0507,0.2467,1.0507,0.0735,1.0515,-0.0975,1.0556,-0.2664,1.0626,-0.4332,1.0724,-0.7608,1.0988
B,SAGE-Mean,9,0.0946,0.0102,4.0812,1.001,4.0812,1.001,3.9626,0.9628,3.8441,0.9249,3.7257,0.8874,3.6074,0.8502,3.3716,0.7774
