universe,benchmark,candidates,M,T,p_lower,p_consistent,p_upper,reject_h0_at_5pct
B,L0,L1|L2|L2s|L3|L4|L5|L5s|L6|L7,9,749,0.2186,0.2767,0.2767,False
C,L0,L1|L2|L2s|L3|L4|L5|L5s|L6|L7,9,749,0.0553,0.0774,0.0774,False
