universe,arm_A,arm_B,mean_delta_IC,T,NW_lag,DM_stat,DM_p_normal,HLN_stat,HLN_p_t,HLN_p_t_lag21,BH_FDR_reject_family,BH_FDR_reject_per_univ,bh_fdr_q
B,L1,L0,0.014281953873382849,749,6,-1.9979103177154045,0.04572638385419503,-1.943227401392913,0.05236349107757721,0.18121400600215742,False,False,0.05
B,L2,L1,-0.013267558188108305,749,6,3.658435295872361,0.0002537597865959196,3.5583037187031725,0.00039680480269077556,0.0111620152304166,True,True,0.05
B,L6,L2,0.005169927810625384,749,6,-0.949744783031305,0.34224194870224833,-0.9237502155886529,0.3559142668177131,0.5096857521830107,False,False,0.05
B,L7,L2,-0.009142417493974557,749,6,1.3335325182936977,0.1823571114470084,1.2970336592285117,0.19501952990728277,0.4030596805049744,False,False,0.05
B,L2s,L2,0.007853026741327903,749,6,-1.6081913769764475,0.1077932711477938,-1.5641750896996918,0.11819940201829304,0.3050386531161995,False,False,0.05
B,L3,L2,-0.014925943230202552,749,6,2.839049792981514,0.004524809556210485,2.7613448425198137,0.005897499474505574,0.048842329106530524,True,True,0.05
B,L4,L2,-0.008132258690678386,749,6,1.2435899944029853,0.213650500522653,1.2095528672104159,0.2268326548469275,0.3915993121729775,False,False,0.05
B,L5,L2,-0.01003516139609591,749,6,1.6445180863968054,0.10006923148184876,1.5995075350663075,0.11013014560407708,0.2603857900754003,False,False,0.05
B,L5,L4,-0.001902902705417525,749,6,1.4044449977397624,0.1601863794023033,1.366005260174983,0.17234786313027795,0.30141047327504356,False,False,0.05
B,L5,L3,0.004890781834106645,749,6,-1.8942185791429718,0.058196003025449805,-1.84237371146231,0.065816116304932,0.1554243514322171,False,False,0.05
C,L1,L0,0.014765145641215498,749,6,-2.625669901274618,0.008647863816855894,-2.553805170296069,0.010852471555673704,0.06318687839350168,True,True,0.05
C,L2,L1,-0.011925474858378995,749,6,4.657166683077594,3.2059087771152406e-06,4.529699772389711,6.872817667868958e-06,0.000981683189016147,True,True,0.05
C,L6,L2,0.017363925924291593,749,6,-3.3855672408579767,0.0007103130481340703,-3.292904077504527,0.0010381884279697662,0.017700159840772223,True,True,0.05
C,L7,L2,0.01015004830661299,749,6,-3.2127112981290025,0.001314883887147733,-3.124779211525235,0.0018481145445525815,0.027733742882787515,True,True,0.05
C,L2s,L2,0.008909573254063208,749,6,-3.8642489947025243,0.0001114315092733964,-3.7584842851693057,0.00018426173367314114,0.0040693402537954615,True,True,0.05
C,L3,L2,-0.012306262176296148,749,6,2.7075954924037418,0.0067772570412405475,2.6334884534473715,0.008625852759046149,0.07006479896709594,True,True,0.05
C,L4,L2,0.016254234205280105,749,6,-2.5751906493359447,0.01001848475048095,-2.504707538285632,0.012466920554944583,0.06965774494884625,True,True,0.05
C,L5,L2,0.015158821525063631,749,6,-4.016517339817849,5.906451995207895e-05,-3.906585037224684,0.00010208623416341212,0.008507305943224575,True,True,0.05
C,L5,L4,-0.0010954126802164774,749,6,0.21914860244749282,0.8265342915411755,0.21315049303108494,0.8312676608530098,0.8768632435774908,False,False,0.05
C,L5,L3,0.027465083701359777,749,6,-5.631659544548532,1.7848375444273756e-08,-5.477520710137059,5.8952787984623e-08,8.507362266363394e-05,True,True,0.05
