universe,pair,dropped_fold,full_mean_delta,lofo_mean_delta,this_fold_delta,sign_flips_when_dropped
B,L5-L2,11,-0.01014,-0.01139,0.00363,False
B,L5-L4,0,-0.00196,-0.00113,-0.01113,False
B,L5-L4,1,-0.00196,-0.00193,-0.00225,False
B,L5-L4,2,-0.00196,-0.00172,-0.00457,False
B,L5-L4,3,-0.00196,-0.0012,-0.01037,False
B,L5-L4,4,-0.00196,-0.00234,0.00226,False
B,L5-L4,5,-0.00196,-0.00305,0.01003,False
B,L5-L4,6,-0.00196,-0.00254,0.00445,False
B,L5-L4,7,-0.00196,-0.00208,-0.00062,False
B,L5-L4,8,-0.00196,-0.00133,-0.00893,False
B,L5-L4,9,-0.00196,-0.00205,-0.00095,False
B,L5-L4,10,-0.00196,-0.00255,0.00452,False
B,L5-L4,11,-0.00196,-0.0016,-0.00597,False
B,L5-L3,0,0.00473,0.00423,0.01021,False
B,L5-L3,1,0.00473,0.00419,0.01062,False
B,L5-L3,2,0.00473,0.00515,0.00011,False
B,L5-L3,3,0.00473,0.00308,0.02285,False
B,L5-L3,4,0.00473,0.0067,-0.01699,False
B,L5-L3,5,0.00473,0.00391,0.01375,False
B,L5-L3,6,0.00473,0.00324,0.02113,False
B,L5-L3,7,0.00473,0.00475,0.00444,False
B,L5-L3,8,0.00473,0.00714,-0.0218,False
B,L5-L3,9,0.00473,0.00358,0.01731,False
B,L5-L3,10,0.00473,0.00537,-0.00236,False
B,L5-L3,11,0.00473,0.00539,-0.00253,False
C,L1-L0,0,0.01478,0.01711,-0.01093,False
C,L1-L0,1,0.01478,0.01626,-0.00157,False
C,L1-L0,2,0.01478,0.01418,0.02137,False
C,L1-L0,3,0.01478,0.01873,-0.02876,False
C,L1-L0,4,0.01478,0.01236,0.04132,False
C,L1-L0,5,0.01478,0.0172,-0.01191,False
C,L1-L0,6,0.01478,0.01589,0.00255,False
C,L1-L0,7,0.01478,0.01389,0.02456,False
C,L1-L0,8,0.01478,0.0182,-0.02286,False
C,L1-L0,9,0.01478,0.00898,0.07853,False
C,L1-L0,10,0.01478,0.01273,0.03725,False
C,L1-L0,11,0.01478,0.01178,0.04776,False
C,L2-L1,0,-0.01184,-0.01425,0.01464,False
C,L2-L1,1,-0.01184,-0.0105,-0.02657,False
C,L2-L1,2,-0.01184,-0.0118,-0.01226,False
C,L2-L1,3,-0.01184,-0.01029,-0.02889,False
C,L2-L1,4,-0.01184,-0.01304,0.0013,False
C,L2-L1,5,-0.01184,-0.01013,-0.03067,False
C,L2-L1,6,-0.01184,-0.01104,-0.02065,False
C,L2-L1,7,-0.01184,-0.01272,-0.00223,False
C,L2-L1,8,-0.01184,-0.0137,0.00859,False
C,L2-L1,9,-0.01184,-0.01083,-0.02296,False
C,L2-L1,10,-0.01184,-0.01269,-0.00248,False
C,L2-L1,11,-0.01184,-0.01111,-0.01993,False
C,L6-L2,0,0.01731,0.02108,-0.02426,False
C,L6-L2,1,0.01731,0.01969,-0.00889,False
C,L6-L2,2,0.01731,0.01885,0.00036,False
C,L6-L2,3,0.01731,0.01348,0.05944,False
C,L6-L2,4,0.01731,0.01862,0.00288,False
C,L6-L2,5,0.01731,0.01321,0.06234,False
C,L6-L2,6,0.01731,0.01683,0.02259,False
C,L6-L2,7,0.01731,0.01928,-0.00437,False
C,L6-L2,8,0.01731,0.01815,0.00807,False
C,L6-L2,9,0.01731,0.0133,0.06142,False
C,L6-L2,10,0.01731,0.01832,0.00618,False
C,L6-L2,11,0.01731,0.01689,0.02191,False
C,L7-L2,0,0.00988,0.01299,-0.02428,False
C,L7-L2,1,0.00988,0.00947,0.0144,False
C,L7-L2,2,0.00988,0.0096,0.01291,False
C,L7-L2,3,0.00988,0.00858,0.02415,False
C,L7-L2,4,0.00988,0.01123,-0.00493,False
C,L7-L2,5,0.00988,0.0068,0.04379,False
C,L7-L2,6,0.00988,0.00891,0.02054,False
C,L7-L2,7,0.00988,0.00947,0.01439,False
C,L7-L2,8,0.00988,0.01387,-0.03402,False
C,L7-L2,9,0.00988,0.0085,0.02503,False
C,L7-L2,10,0.00988,0.00913,0.01811,False
C,L7-L2,11,0.00988,0.01001,0.00847,False
C,L2s-L2,0,0.00885,0.01005,-0.00429,False
C,L2s-L2,1,0.00885,0.0085,0.01268,False
C,L2s-L2,2,0.00885,0.00724,0.02657,False
C,L2s-L2,3,0.00885,0.00997,-0.00349,False
C,L2s-L2,4,0.00885,0.00925,0.0045,False
C,L2s-L2,5,0.00885,0.00768,0.02172,False
C,L2s-L2,6,0.00885,0.0081,0.01708,False
C,L2s-L2,7,0.00885,0.00964,0.00015,False
C,L2s-L2,8,0.00885,0.00999,-0.00367,False
C,L2s-L2,9,0.00885,0.00738,0.025,False
C,L2s-L2,10,0.00885,0.00919,0.00512,False
C,L2s-L2,11,0.00885,0.00922,0.00485,False
C,L3-L2,0,-0.01232,-0.0107,-0.03019,False
C,L3-L2,1,-0.01232,-0.01539,0.02141,False
C,L3-L2,2,-0.01232,-0.01321,-0.00261,False
C,L3-L2,3,-0.01232,-0.01351,0.0007,False
C,L3-L2,4,-0.01232,-0.00949,-0.04343,False
C,L3-L2,5,-0.01232,-0.01505,0.01767,False
C,L3-L2,6,-0.01232,-0.01324,-0.00223,False
C,L3-L2,7,-0.01232,-0.00948,-0.04359,False
C,L3-L2,8,-0.01232,-0.01347,0.00033,False
C,L3-L2,9,-0.01232,-0.00833,-0.05628,False
C,L3-L2,10,-0.01232,-0.01265,-0.0087,False
C,L3-L2,11,-0.01232,-0.01336,-0.00092,False
C,L4-L2,0,0.01594,0.01938,-0.02193,False
C,L4-L2,1,0.01594,0.01886,-0.0162,False
C,L4-L2,2,0.01594,0.01599,0.01539,False
C,L4-L2,3,0.01594,0.01307,0.04749,False
