contrast,other_universe,T,mean_delta_cpre,mean_delta_other,mean_paired_diff,ci_lo,ci_hi,ci_excludes_0,SE_block,MDE_2p8xSE,HLN_stat_on_IC_diff,HLN_p_t,HLN_p_t_lag21,n_boot,block_size,note
(L1-L0)_C - (L1-L0)_CPRE,C,749,-0.00242,0.01477,0.01718,-0.01114,0.0494,False,0.01545,0.04327,1.6361,0.10223,0.2706,5000,21,post-hoc conditional contrast; same test days + same 10 seeds; positive = C contrast larger than CPRE; absolute paired change only (no proportional inference); not an identified leakage-inflation effect (column sets differ and both arms were re-tuned)
(L1-L0)_B - (L1-L0)_CPRE,B,749,-0.00242,0.01428,0.0167,-0.01326,0.05094,False,0.01598,0.04475,1.5111,0.13119,0.3095,5000,21,post-hoc conditional contrast; same test days + same 10 seeds; positive = B contrast larger than CPRE; absolute paired change only (no proportional inference); not an identified leakage-inflation effect (column sets differ and both arms were re-tuned)
(L1-L0)_C5 - (L1-L0)_CPRE,C5,749,-0.00242,0.01343,0.01585,-0.00949,0.04811,False,0.01478,0.04139,1.5117,0.13104,0.29222,5000,21,post-hoc conditional contrast; same test days + same 10 seeds; positive = C5 contrast larger than CPRE; absolute paired change only (no proportional inference); not an identified leakage-inflation effect (column sets differ and both arms were re-tuned)
