contrast,T,mean_delta_C5,mean_delta_C,mean_paired_diff,ci_lo,ci_hi,ci_excludes_0,HLN_stat,HLN_p_t,HLN_p_t_lag21,n_boot,block_size,note,mean_delta_B
(L1-L0)_C - (L1-L0)_C5,749,0.01318,0.01477,0.00159,-0.0154,0.0188,False,0.2417,0.80907,0.86012,5000,21,post-hoc conditional subset contrast; same test days + same 10 seeds; positive = C contrast larger than C5; not an identified leakage-inflation effect (C5 selection is test-informed),
(L1-L0)_B - (L1-L0)_C5,749,0.01318,,0.00111,-0.01882,0.02001,False,0.1376,0.89056,0.9206,5000,21,post-hoc conditional subset contrast; same test days + same 10 seeds; positive = B contrast larger than C5; not an identified leakage-inflation effect (C5 selection is test-informed),0.01428
