cell_id,universe,arm,model,seed,fold,status,start_ts,end_ts,wall_time_sec,err
3635,CPRE,L0,LightGBM,2024,3,completed,1789206475.9,1789206476.8,0.9,
3636,CPRE,L0,LightGBM,7,3,completed,1789206476.9,1789206477.8,0.9,
3637,CPRE,L0,LightGBM,34,3,completed,1789206477.8,1789206478.8,1.0,
3638,CPRE,L0,LightGBM,99,3,completed,1789206478.9,1789206479.8,0.9,
3639,CPRE,L0,LightGBM,2026,3,completed,1789206479.8,1789206480.7,0.9,
3750,CPRE,L1,MLP,86,3,completed,1789206480.7,1789206520.2,39.5,
3751,CPRE,L1,MLP,123,3,completed,1789206520.2,1789206548.6,28.4,
3752,CPRE,L1,MLP,456,3,completed,1789206548.7,1789206586.0,37.3,
3753,CPRE,L1,MLP,789,3,completed,1789206586.0,1789206618.0,31.9,
3754,CPRE,L1,MLP,1024,3,completed,1789206618.0,1789206651.7,33.7,
3755,CPRE,L1,MLP,2024,3,completed,1789206651.8,1789206682.0,30.2,
3756,CPRE,L1,MLP,7,3,completed,1789206682.0,1789206721.2,39.1,
3757,CPRE,L1,MLP,34,3,completed,1789206721.2,1789206769.1,47.9,
3758,CPRE,L1,MLP,99,3,completed,1789206769.1,1789206820.6,51.5,
3759,CPRE,L1,MLP,2026,3,completed,1789206820.7,1789206856.2,35.5,
3640,CPRE,L0,LightGBM,86,4,completed,1789206856.6,1789206857.4,0.9,
3641,CPRE,L0,LightGBM,123,4,completed,1789206857.5,1789206858.4,0.9,
3642,CPRE,L0,LightGBM,456,4,completed,1789206858.4,1789206859.3,0.9,
3643,CPRE,L0,LightGBM,789,4,completed,1789206859.4,1789206860.2,0.9,
3644,CPRE,L0,LightGBM,1024,4,completed,1789206860.3,1789206861.2,0.9,
3645,CPRE,L0,LightGBM,2024,4,completed,1789206861.2,1789206862.1,0.9,
3646,CPRE,L0,LightGBM,7,4,completed,1789206862.2,1789206863.1,0.9,
3647,CPRE,L0,LightGBM,34,4,completed,1789206863.1,1789206864.4,1.3,
3648,CPRE,L0,LightGBM,99,4,completed,1789206864.4,1789206865.2,0.8,
3649,CPRE,L0,LightGBM,2026,4,completed,1789206865.3,1789206866.2,0.9,
3760,CPRE,L1,MLP,86,4,completed,1789206866.2,1789206908.1,41.9,
3761,CPRE,L1,MLP,123,4,completed,1789206908.2,1789206966.0,57.8,
3762,CPRE,L1,MLP,456,4,completed,1789206966.0,1789207007.9,41.9,
3763,CPRE,L1,MLP,789,4,completed,1789207007.9,1789207045.8,37.8,
3764,CPRE,L1,MLP,1024,4,completed,1789207045.8,1789207091.7,45.9,
3765,CPRE,L1,MLP,2024,4,completed,1789207091.7,1789207133.6,41.9,
3766,CPRE,L1,MLP,7,4,completed,1789207133.6,1789207183.6,49.9,
3767,CPRE,L1,MLP,34,4,completed,1789207183.6,1789207219.5,35.9,
3768,CPRE,L1,MLP,99,4,completed,1789207219.5,1789207263.3,43.8,
3769,CPRE,L1,MLP,2026,4,completed,1789207263.4,1789207309.5,46.1,
3650,CPRE,L0,LightGBM,86,5,completed,1789207310.0,1789207311.7,1.7,
3651,CPRE,L0,LightGBM,123,5,completed,1789207311.8,1789207313.0,1.2,
3652,CPRE,L0,LightGBM,456,5,completed,1789207313.0,1789207314.5,1.5,
3653,CPRE,L0,LightGBM,789,5,completed,1789207314.6,1789207315.5,0.9,
3654,CPRE,L0,LightGBM,1024,5,completed,1789207315.5,1789207316.5,0.9,
3655,CPRE,L0,LightGBM,2024,5,completed,1789207316.5,1789207318.1,1.6,
3656,CPRE,L0,LightGBM,7,5,completed,1789207318.1,1789207319.7,1.6,
3657,CPRE,L0,LightGBM,34,5,completed,1789207319.8,1789207320.7,0.9,
3658,CPRE,L0,LightGBM,99,5,completed,1789207320.7,1789207321.9,1.2,
