cell_id,universe,arm,model,seed,fold,status,start_ts,end_ts,wall_time_sec,err
2438,C5,L0,LightGBM,99,3,completed,1789112863.2,1789112864.4,1.2,
2439,C5,L0,LightGBM,2026,3,completed,1789112864.6,1789112865.6,0.9,
2550,C5,L1,MLP,86,3,completed,1789112865.8,1789112884.2,18.4,
2551,C5,L1,MLP,123,3,completed,1789112884.5,1789112901.6,17.1,
2552,C5,L1,MLP,456,3,completed,1789112901.8,1789112919.0,17.2,
2553,C5,L1,MLP,789,3,completed,1789112919.3,1789112936.6,17.3,
2554,C5,L1,MLP,1024,3,completed,1789112936.8,1789112955.9,19.0,
2555,C5,L1,MLP,2024,3,completed,1789112956.1,1789112975.2,19.1,
2556,C5,L1,MLP,7,3,completed,1789112975.4,1789112991.5,16.1,
2557,C5,L1,MLP,34,3,completed,1789112991.8,1789113011.8,20.1,
2558,C5,L1,MLP,99,3,completed,1789113012.1,1789113029.6,17.5,
2559,C5,L1,MLP,2026,3,completed,1789113029.8,1789113046.3,16.4,
2440,C5,L0,LightGBM,86,4,completed,1789113047.2,1789113048.2,1.1,
2441,C5,L0,LightGBM,123,4,completed,1789113048.5,1789113050.1,1.6,
2442,C5,L0,LightGBM,456,4,completed,1789113050.4,1789113051.7,1.3,
2443,C5,L0,LightGBM,789,4,completed,1789113052.0,1789113053.2,1.2,
2444,C5,L0,LightGBM,1024,4,completed,1789113053.5,1789113054.8,1.4,
2445,C5,L0,LightGBM,2024,4,completed,1789113055.1,1789113056.4,1.3,
2446,C5,L0,LightGBM,7,4,completed,1789113056.6,1789113057.7,1.1,
2447,C5,L0,LightGBM,34,4,completed,1789113058.0,1789113059.6,1.6,
2448,C5,L0,LightGBM,99,4,completed,1789113059.8,1789113061.2,1.4,
2449,C5,L0,LightGBM,2026,4,completed,1789113061.5,1789113062.8,1.3,
2560,C5,L1,MLP,86,4,completed,1789113063.0,1789113096.2,33.2,
2561,C5,L1,MLP,123,4,completed,1789113096.5,1789113134.7,38.2,
2562,C5,L1,MLP,456,4,completed,1789113134.9,1789113152.8,17.9,
2563,C5,L1,MLP,789,4,completed,1789113153.0,1789113180.8,27.8,
2564,C5,L1,MLP,1024,4,completed,1789113181.0,1789113226.7,45.7,
2565,C5,L1,MLP,2024,4,completed,1789113227.0,1789113245.4,18.5,
2566,C5,L1,MLP,7,4,completed,1789113245.7,1789113267.0,21.4,
2567,C5,L1,MLP,34,4,completed,1789113267.3,1789113297.4,30.1,
2568,C5,L1,MLP,99,4,completed,1789113297.6,1789113330.5,32.9,
2569,C5,L1,MLP,2026,4,completed,1789113330.7,1789113352.4,21.7,
2450,C5,L0,LightGBM,86,5,completed,1789113353.4,1789113354.6,1.2,
2451,C5,L0,LightGBM,123,5,completed,1789113354.9,1789113355.8,1.0,
2452,C5,L0,LightGBM,456,5,completed,1789113356.1,1789113357.1,1.0,
2453,C5,L0,LightGBM,789,5,completed,1789113357.3,1789113358.3,1.0,
2454,C5,L0,LightGBM,1024,5,completed,1789113358.6,1789113359.5,0.9,
2455,C5,L0,LightGBM,2024,5,completed,1789113359.8,1789113360.8,1.0,
2456,C5,L0,LightGBM,7,5,completed,1789113361.0,1789113362.0,1.0,
2457,C5,L0,LightGBM,34,5,completed,1789113362.2,1789113363.1,1.0,
2458,C5,L0,LightGBM,99,5,completed,1789113363.4,1789113364.4,1.0,
2459,C5,L0,LightGBM,2026,5,completed,1789113364.7,1789113365.8,1.1,
2570,C5,L1,MLP,86,5,completed,1789113366.1,1789113386.0,19.9,
2571,C5,L1,MLP,123,5,completed,1789113386.2,1789113429.1,42.8,
2572,C5,L1,MLP,456,5,completed,1789113429.3,1789113454.3,25.0,
2573,C5,L1,MLP,789,5,completed,1789113454.5,1789113501.6,47.1,
2574,C5,L1,MLP,1024,5,completed,1789113501.9,1789113531.7,29.8,
2575,C5,L1,MLP,2024,5,completed,1789113531.9,1789113551.7,19.8,
2576,C5,L1,MLP,7,5,completed,1789113551.9,1789113576.6,24.7,
2577,C5,L1,MLP,34,5,completed,1789113576.9,1789113607.9,31.0,
2578,C5,L1,MLP,99,5,completed,1789113608.1,1789113650.3,42.1,
2579,C5,L1,MLP,2026,5,completed,1789113650.5,1789113684.1,33.6,
2460,C5,L0,LightGBM,86,6,completed,1789113685.0,1789113686.4,1.4,
2461,C5,L0,LightGBM,123,6,completed,1789113686.7,1789113687.6,0.9,
2462,C5,L0,LightGBM,456,6,completed,1789113687.8,1789113688.8,0.9,
2463,C5,L0,LightGBM,789,6,completed,1789113689.0,1789113689.9,0.9,
2464,C5,L0,LightGBM,1024,6,completed,1789113690.2,1789113691.2,1.0,
2465,C5,L0,LightGBM,2024,6,completed,1789113691.4,1789113692.5,1.0,
2466,C5,L0,LightGBM,7,6,completed,1789113692.7,1789113693.7,1.0,
2467,C5,L0,LightGBM,34,6,completed,1789113694.0,1789113695.7,1.7,
2468,C5,L0,LightGBM,99,6,completed,1789113695.9,1789113698.2,2.3,
2469,C5,L0,LightGBM,2026,6,completed,1789113698.4,1789113699.7,1.3,
2580,C5,L1,MLP,86,6,completed,1789113699.9,1789113726.9,27.0,
2581,C5,L1,MLP,123,6,completed,1789113727.2,1789113757.4,30.2,
2582,C5,L1,MLP,456,6,completed,1789113757.6,1789113788.0,30.4,
2583,C5,L1,MLP,789,6,completed,1789113788.2,1789113810.6,22.4,
