universe,model_A,model_B,mean_delta_IC,T,NW_lag,DM_stat,DM_p_normal,HLN_stat,HLN_p_t,BH_FDR_reject,bh_fdr_q
B,GAT,LightGBM,0.029025578899184352,313,5,-1.878106896304166,0.060366543112316595,-1.755097330858139,0.08022411578167632,False,0.05
B,SAGE-Mean,LightGBM,0.025477809897050504,313,5,-1.7189788638789203,0.0856182206039231,-1.606391639225864,0.10919945117990748,False,0.05
B,MLP,LightGBM,0.02340387341032496,313,5,-1.8458717263082542,0.06491083286200205,-1.7249734540272108,0.08552254065537435,False,0.05
B,GAT,MLP,0.005621705488859396,313,5,-0.9753234739589051,0.3293998300660441,-0.9114431288427215,0.36276559819162224,False,0.05
B,SAGE-Mean,MLP,0.0020739364867255433,313,5,-0.3506465159061608,0.7258535548679923,-0.3276803707779685,0.7433731144871758,False,0.05
C,GAT,LightGBM,-0.004258965401732275,313,5,0.46932477625893426,0.6388375081258406,0.43858561178737393,0.661265361330247,False,0.05
C,SAGE-Mean,LightGBM,0.0006447904170452697,313,5,-0.08251017277108015,0.9342410292175345,-0.07710603921647792,0.938588610876792,False,0.05
C,MLP,LightGBM,0.006006303075667173,313,5,-0.7561603368892694,0.4495530699582113,-0.7066344261802943,0.48032106894460025,False,0.05
C,GAT,MLP,-0.01026526847739945,313,5,2.337595124951308,0.019408261084396194,2.1844906551924987,0.029670198839173434,False,0.05
C,SAGE-Mean,MLP,-0.005361512658621908,313,5,1.238472201605981,0.21554102330549774,1.1573565166381412,0.24801199924811668,False,0.05
