contrast,other_universe,T,mean_delta_c5,mean_delta_other,mean_paired_diff,ci_lo,ci_hi,ci_excludes_0,SE_block,MDE_2p8xSE,HLN_stat_on_IC_diff,HLN_p_t,HLN_p_t_lag21,n_boot,block_size,note
(L1-L0)_C - (L1-L0)_C5,C,749,0.01343,0.01477,0.00133,-0.01586,0.0189,False,0.00877,0.02455,0.2047,0.83789,0.88202,5000,21,post-hoc conditional subset contrast; same test days + same 10 seeds; positive = C contrast larger than C5; not an identified leakage-inflation effect (C5 selection is test-informed)
(L1-L0)_B - (L1-L0)_C5,B,749,0.01343,0.01428,0.00085,-0.01862,0.02,False,0.00985,0.02757,0.1069,0.91491,0.93836,5000,21,post-hoc conditional subset contrast; same test days + same 10 seeds; positive = B contrast larger than C5; not an identified leakage-inflation effect (C5 selection is test-informed)
