universe,pair,arm_A,arm_B,cost_bps,fold,test_period,dSharpe
B,L6-L2,L6,L2,10,10,2025Q3,0.348
B,L6-L2,L6,L2,10,11,2025Q4,1.2134
B,L6-L2,L6,L2,30,0,2023Q1,3.0262
B,L6-L2,L6,L2,30,1,2023Q2,0.5407
B,L6-L2,L6,L2,30,2,2023Q3,-0.1746
B,L6-L2,L6,L2,30,3,2023Q4,-1.6274
B,L6-L2,L6,L2,30,4,2024Q1,-3.0211
B,L6-L2,L6,L2,30,5,2024Q2,0.3902
B,L6-L2,L6,L2,30,6,2024Q3,0.119
B,L6-L2,L6,L2,30,7,2024Q4,0.2143
B,L6-L2,L6,L2,30,8,2025Q1,0.0365
B,L6-L2,L6,L2,30,9,2025Q2,1.1167
B,L6-L2,L6,L2,30,10,2025Q3,0.6547
B,L6-L2,L6,L2,30,11,2025Q4,1.0846
B,L7-L2,L7,L2,0,0,2023Q1,0.522
B,L7-L2,L7,L2,0,1,2023Q2,0.1464
B,L7-L2,L7,L2,0,2,2023Q3,2.1683
B,L7-L2,L7,L2,0,3,2023Q4,-0.4117
B,L7-L2,L7,L2,0,4,2024Q1,-2.334
B,L7-L2,L7,L2,0,5,2024Q2,0.0034
B,L7-L2,L7,L2,0,6,2024Q3,0.0767
B,L7-L2,L7,L2,0,7,2024Q4,-0.2571
B,L7-L2,L7,L2,0,8,2025Q1,-0.6257
B,L7-L2,L7,L2,0,9,2025Q2,-5.3735
B,L7-L2,L7,L2,0,10,2025Q3,0.2918
B,L7-L2,L7,L2,0,11,2025Q4,0.8116
B,L7-L2,L7,L2,10,0,2023Q1,0.5746
B,L7-L2,L7,L2,10,1,2023Q2,0.2578
B,L7-L2,L7,L2,10,2,2023Q3,1.9158
B,L7-L2,L7,L2,10,3,2023Q4,-0.258
B,L7-L2,L7,L2,10,4,2024Q1,-2.2109
B,L7-L2,L7,L2,10,5,2024Q2,0.0529
B,L7-L2,L7,L2,10,6,2024Q3,0.1207
B,L7-L2,L7,L2,10,7,2024Q4,-0.2034
B,L7-L2,L7,L2,10,8,2025Q1,-0.5914
B,L7-L2,L7,L2,10,9,2025Q2,-5.1107
B,L7-L2,L7,L2,10,10,2025Q3,0.4406
B,L7-L2,L7,L2,10,11,2025Q4,0.8552
B,L7-L2,L7,L2,30,0,2023Q1,0.6751
B,L7-L2,L7,L2,30,1,2023Q2,0.4816
B,L7-L2,L7,L2,30,2,2023Q3,1.5552
B,L7-L2,L7,L2,30,3,2023Q4,0.0706
B,L7-L2,L7,L2,30,4,2024Q1,-1.9507
B,L7-L2,L7,L2,30,5,2024Q2,0.1424
B,L7-L2,L7,L2,30,6,2024Q3,0.2088
B,L7-L2,L7,L2,30,7,2024Q4,-0.0985
B,L7-L2,L7,L2,30,8,2025Q1,-0.5193
B,L7-L2,L7,L2,30,9,2025Q2,-4.513
B,L7-L2,L7,L2,30,10,2025Q3,0.7374
B,L7-L2,L7,L2,30,11,2025Q4,0.9419
B,L2s-L2,L2s,L2,0,0,2023Q1,1.1532
B,L2s-L2,L2s,L2,0,1,2023Q2,1.0966
B,L2s-L2,L2s,L2,0,2,2023Q3,2.6728
B,L2s-L2,L2s,L2,0,3,2023Q4,-1.4518
B,L2s-L2,L2s,L2,0,4,2024Q1,-2.0215
B,L2s-L2,L2s,L2,0,5,2024Q2,-1.1661
B,L2s-L2,L2s,L2,0,6,2024Q3,-0.3866
B,L2s-L2,L2s,L2,0,7,2024Q4,-0.0087
B,L2s-L2,L2s,L2,0,8,2025Q1,2.1298
B,L2s-L2,L2s,L2,0,9,2025Q2,-1.907
B,L2s-L2,L2s,L2,0,10,2025Q3,0.5843
B,L2s-L2,L2s,L2,0,11,2025Q4,0.4862
B,L2s-L2,L2s,L2,10,0,2023Q1,1.1785
B,L2s-L2,L2s,L2,10,1,2023Q2,1.0496
B,L2s-L2,L2s,L2,10,2,2023Q3,2.3745
B,L2s-L2,L2s,L2,10,3,2023Q4,-1.631
B,L2s-L2,L2s,L2,10,4,2024Q1,-1.8636
B,L2s-L2,L2s,L2,10,5,2024Q2,-1.1149
B,L2s-L2,L2s,L2,10,6,2024Q3,-0.3417
B,L2s-L2,L2s,L2,10,7,2024Q4,0.0026
B,L2s-L2,L2s,L2,10,8,2025Q1,1.9545
B,L2s-L2,L2s,L2,10,9,2025Q2,-1.758
B,L2s-L2,L2s,L2,10,10,2025Q3,0.7433
B,L2s-L2,L2s,L2,10,11,2025Q4,0.5062
B,L2s-L2,L2s,L2,30,0,2023Q1,1.2245
B,L2s-L2,L2s,L2,30,1,2023Q2,0.9378
B,L2s-L2,L2s,L2,30,2,2023Q3,1.7793
B,L2s-L2,L2s,L2,30,3,2023Q4,-1.8934
B,L2s-L2,L2s,L2,30,4,2024Q1,-1.533
B,L2s-L2,L2s,L2,30,5,2024Q2,-1.0132
B,L2s-L2,L2s,L2,30,6,2024Q3,-0.2521
B,L2s-L2,L2s,L2,30,7,2024Q4,0.0264
B,L2s-L2,L2s,L2,30,8,2025Q1,1.5759
B,L2s-L2,L2s,L2,30,9,2025Q2,-1.4366
B,L2s-L2,L2s,L2,30,10,2025Q3,1.0583
B,L2s-L2,L2s,L2,30,11,2025Q4,0.5459
B,L3-L2,L3,L2,0,0,2023Q1,1.2124
B,L3-L2,L3,L2,0,1,2023Q2,2.5222
B,L3-L2,L3,L2,0,2,2023Q3,1.1143
B,L3-L2,L3,L2,0,3,2023Q4,-2.7356
B,L3-L2,L3,L2,0,4,2024Q1,-2.6123
B,L3-L2,L3,L2,0,5,2024Q2,-0.0627
B,L3-L2,L3,L2,0,6,2024Q3,-0.4463
B,L3-L2,L3,L2,0,7,2024Q4,-2.7128
B,L3-L2,L3,L2,0,8,2025Q1,0.4681
B,L3-L2,L3,L2,0,9,2025Q2,-2.0324
B,L3-L2,L3,L2,0,10,2025Q3,1.7006
B,L3-L2,L3,L2,0,11,2025Q4,1.1528
B,L3-L2,L3,L2,10,0,2023Q1,1.0019
B,L3-L2,L3,L2,10,1,2023Q2,2.1182
B,L3-L2,L3,L2,10,2,2023Q3,0.6264
B,L3-L2,L3,L2,10,3,2023Q4,-2.7938
B,L3-L2,L3,L2,10,4,2024Q1,-2.7027
B,L3-L2,L3,L2,10,5,2024Q2,-0.073
B,L3-L2,L3,L2,10,6,2024Q3,-0.4846
B,L3-L2,L3,L2,10,7,2024Q4,-2.9144
B,L3-L2,L3,L2,10,8,2025Q1,0.4338
B,L3-L2,L3,L2,10,9,2025Q2,-2.0067
B,L3-L2,L3,L2,10,10,2025Q3,1.5835
B,L3-L2,L3,L2,10,11,2025Q4,1.0629
B,L3-L2,L3,L2,30,0,2023Q1,0.5665
B,L3-L2,L3,L2,30,1,2023Q2,1.312
B,L3-L2,L3,L2,30,2,2023Q3,-0.4251
B,L3-L2,L3,L2,30,3,2023Q4,-2.8563
B,L3-L2,L3,L2,30,4,2024Q1,-2.8614
B,L3-L2,L3,L2,30,5,2024Q2,-0.1004
B,L3-L2,L3,L2,30,6,2024Q3,-0.5613
B,L3-L2,L3,L2,30,7,2024Q4,-3.3395
B,L3-L2,L3,L2,30,8,2025Q1,0.364
B,L3-L2,L3,L2,30,9,2025Q2,-1.8943
B,L3-L2,L3,L2,30,10,2025Q3,1.3456
B,L3-L2,L3,L2,30,11,2025Q4,0.8641
B,L4-L2,L4,L2,0,0,2023Q1,2.4109
B,L4-L2,L4,L2,0,1,2023Q2,2.5908
B,L4-L2,L4,L2,0,2,2023Q3,1.4604
B,L4-L2,L4,L2,0,3,2023Q4,-0.9935
B,L4-L2,L4,L2,0,4,2024Q1,-4.1846
B,L4-L2,L4,L2,0,5,2024Q2,0.0235
B,L4-L2,L4,L2,0,6,2024Q3,-0.3944
B,L4-L2,L4,L2,0,7,2024Q4,-0.7421
B,L4-L2,L4,L2,0,8,2025Q1,-0.3185
B,L4-L2,L4,L2,0,9,2025Q2,-3.1123
B,L4-L2,L4,L2,0,10,2025Q3,1.4729
B,L4-L2,L4,L2,0,11,2025Q4,1.4713
B,L4-L2,L4,L2,10,0,2023Q1,1.9507
B,L4-L2,L4,L2,10,1,2023Q2,2.2473
B,L4-L2,L4,L2,10,2,2023Q3,1.4701
B,L4-L2,L4,L2,10,3,2023Q4,-0.7851
B,L4-L2,L4,L2,10,4,2024Q1,-4.1997
B,L4-L2,L4,L2,10,5,2024Q2,0.0628
B,L4-L2,L4,L2,10,6,2024Q3,-0.44
B,L4-L2,L4,L2,10,7,2024Q4,-0.9279
B,L4-L2,L4,L2,10,8,2025Q1,-0.3426
B,L4-L2,L4,L2,10,9,2025Q2,-3.0128
B,L4-L2,L4,L2,10,10,2025Q3,1.3218
B,L4-L2,L4,L2,10,11,2025Q4,1.4485
B,L4-L2,L4,L2,30,0,2023Q1,1.0719
B,L4-L2,L4,L2,30,1,2023Q2,1.6536
B,L4-L2,L4,L2,30,2,2023Q3,1.4285
B,L4-L2,L4,L2,30,3,2023Q4,-0.3637
B,L4-L2,L4,L2,30,4,2024Q1,-4.2166
B,L4-L2,L4,L2,30,5,2024Q2,0.1395
B,L4-L2,L4,L2,30,6,2024Q3,-0.5312
B,L4-L2,L4,L2,30,7,2024Q4,-1.3228
B,L4-L2,L4,L2,30,8,2025Q1,-0.3911
B,L4-L2,L4,L2,30,9,2025Q2,-2.724
B,L4-L2,L4,L2,30,10,2025Q3,1.015
B,L4-L2,L4,L2,30,11,2025Q4,1.3965
B,L5-L2,L5,L2,0,0,2023Q1,1.2716
B,L5-L2,L5,L2,0,1,2023Q2,2.7077
B,L5-L2,L5,L2,0,2,2023Q3,1.0322
B,L5-L2,L5,L2,0,3,2023Q4,-0.8945
B,L5-L2,L5,L2,0,4,2024Q1,-3.7541
B,L5-L2,L5,L2,0,5,2024Q2,0.2973
B,L5-L2,L5,L2,0,6,2024Q3,-0.3814
B,L5-L2,L5,L2,0,7,2024Q4,-0.5036
B,L5-L2,L5,L2,0,8,2025Q1,-0.3792
B,L5-L2,L5,L2,0,9,2025Q2,-2.746
B,L5-L2,L5,L2,0,10,2025Q3,2.6492
B,L5-L2,L5,L2,0,11,2025Q4,1.0388
B,L5-L2,L5,L2,10,0,2023Q1,1.0441
B,L5-L2,L5,L2,10,1,2023Q2,2.4537
B,L5-L2,L5,L2,10,2,2023Q3,0.9424
B,L5-L2,L5,L2,10,3,2023Q4,-0.6689
B,L5-L2,L5,L2,10,4,2024Q1,-3.7429
B,L5-L2,L5,L2,10,5,2024Q2,0.3318
B,L5-L2,L5,L2,10,6,2024Q3,-0.3971
B,L5-L2,L5,L2,10,7,2024Q4,-0.6794
B,L5-L2,L5,L2,10,8,2025Q1,-0.4015
B,L5-L2,L5,L2,10,9,2025Q2,-2.6935
B,L5-L2,L5,L2,10,10,2025Q3,2.3218
B,L5-L2,L5,L2,10,11,2025Q4,0.97
B,L5-L2,L5,L2,30,0,2023Q1,0.6006
B,L5-L2,L5,L2,30,1,2023Q2,1.9713
B,L5-L2,L5,L2,30,2,2023Q3,0.6992
B,L5-L2,L5,L2,30,3,2023Q4,-0.2148
B,L5-L2,L5,L2,30,4,2024Q1,-3.7065
B,L5-L2,L5,L2,30,5,2024Q2,0.3953
B,L5-L2,L5,L2,30,6,2024Q3,-0.4299
B,L5-L2,L5,L2,30,7,2024Q4,-1.0528
B,L5-L2,L5,L2,30,8,2025Q1,-0.4463
B,L5-L2,L5,L2,30,9,2025Q2,-2.5193
B,L5-L2,L5,L2,30,10,2025Q3,1.6731
B,L5-L2,L5,L2,30,11,2025Q4,0.8188
B,L5-L4,L5,L4,0,0,2023Q1,-1.1393
B,L5-L4,L5,L4,0,1,2023Q2,0.1169
B,L5-L4,L5,L4,0,2,2023Q3,-0.4282
B,L5-L4,L5,L4,0,3,2023Q4,0.0989
B,L5-L4,L5,L4,0,4,2024Q1,0.4305
B,L5-L4,L5,L4,0,5,2024Q2,0.2738
B,L5-L4,L5,L4,0,6,2024Q3,0.013
B,L5-L4,L5,L4,0,7,2024Q4,0.2384
