universe,arm,model,cost_bps,n_cells,Sharpe_net_mean,Sharpe_net_median,Sharpe_net_ci_lo,Sharpe_net_ci_hi,Sharpe_net_drop_q2_2025,mean_turnover_L1,max_abs_Sharpe_gross_cell
B,L7,HATS-3R-adapt,10,120,0.5338,0.7835,0.0595,0.9849,0.8002,2.408,11.73
B,L7,HATS-3R-adapt,15,120,0.4066,0.5875,-0.0665,0.8529,0.6745,2.408,11.73
B,L7,HATS-3R-adapt,20,120,0.2806,0.4422,-0.1913,0.722,0.5502,2.408,11.73
B,L7,HATS-3R-adapt,30,120,0.0321,0.1005,-0.4447,0.4769,0.3055,2.408,11.73
C,L0,LightGBM,0,120,0.1596,-0.0145,-0.4125,0.7253,-0.1554,2.253,10.59
C,L0,LightGBM,5,120,-0.0311,-0.1486,-0.6185,0.5454,-0.3474,2.253,10.59
C,L0,LightGBM,10,120,-0.2191,-0.3333,-0.8161,0.3644,-0.536,2.253,10.59
C,L0,LightGBM,15,120,-0.4043,-0.5505,-1.0177,0.1902,-0.7213,2.253,10.59
C,L0,LightGBM,20,120,-0.5866,-0.7646,-1.2115,0.019,-0.9032,2.253,10.59
C,L0,LightGBM,30,120,-0.9427,-1.1273,-1.5941,-0.3199,-1.2569,2.253,10.59
C,L1,MLP,0,120,1.4043,0.4519,0.6249,2.2396,0.7405,2.895,31.69
C,L1,MLP,5,120,1.1782,0.3611,0.4021,2.0073,0.5178,2.895,31.69
C,L1,MLP,10,120,0.9542,0.1818,0.1751,1.7738,0.2973,2.895,31.69
C,L1,MLP,15,120,0.7324,0.0248,-0.0565,1.5553,0.079,2.895,31.69
C,L1,MLP,20,120,0.5126,-0.1081,-0.2798,1.3277,-0.1372,2.895,31.69
C,L1,MLP,30,120,0.079,-0.4579,-0.7255,0.885,-0.5636,2.895,31.69
C,L2,GAT,0,120,0.7192,0.1262,-0.0159,1.4005,0.2556,2.913,18.92
C,L2,GAT,5,120,0.4778,0.0389,-0.3041,1.1921,0.0099,2.913,18.92
C,L2,GAT,10,120,0.2334,-0.0403,-0.5902,0.9722,-0.2391,2.913,18.92
C,L2,GAT,15,120,-0.0142,-0.1159,-0.901,0.7617,-0.4915,2.913,18.92
C,L2,GAT,20,120,-0.2649,-0.2322,-1.2204,0.559,-0.7473,2.913,18.92
C,L2,GAT,30,120,-0.7757,-0.5978,-1.8821,0.1482,-1.2693,2.913,18.92
C,L2s,SAGE-Mean,0,120,0.7745,0.3602,-0.197,1.4817,0.345,2.917,38.8
C,L2s,SAGE-Mean,5,120,0.536,0.2323,-0.5402,1.2873,0.0977,2.917,38.8
C,L2s,SAGE-Mean,10,120,0.2987,0.12,-0.8733,1.1016,-0.148,2.917,38.8
C,L2s,SAGE-Mean,15,120,0.064,-0.0352,-1.2187,0.9137,-0.3909,2.917,38.8
C,L2s,SAGE-Mean,20,120,-0.1666,-0.176,-1.5369,0.7303,-0.6292,2.917,38.8
C,L2s,SAGE-Mean,30,120,-0.6092,-0.3879,-2.1326,0.3678,-1.0853,2.917,38.8
C,L3,GAT,0,120,0.866,0.531,0.2583,1.5381,0.3522,3.19,20.55
C,L3,GAT,5,120,0.5892,0.2798,-0.0234,1.2635,0.0895,3.19,20.55
C,L3,GAT,10,120,0.3155,-0.0106,-0.2977,0.9876,-0.1691,3.19,20.55
C,L3,GAT,15,120,0.0437,-0.36,-0.5759,0.7151,-0.4245,3.19,20.55
C,L3,GAT,20,120,-0.2267,-0.5282,-0.8579,0.444,-0.6776,3.19,20.55
C,L3,GAT,30,120,-0.7658,-0.8545,-1.4251,-0.0747,-1.1784,3.19,20.55
C,L4,GAT,0,120,1.3967,0.4589,0.6782,2.2611,0.4811,2.703,27.82
C,L4,GAT,5,120,1.2201,0.2853,0.5044,2.0765,0.3135,2.703,27.82
C,L4,GAT,10,120,1.0423,0.1302,0.3193,1.8975,0.1444,2.703,27.82
C,L4,GAT,15,120,0.8634,-0.0452,0.1388,1.716,-0.0264,2.703,27.82
C,L4,GAT,20,120,0.683,-0.1835,-0.0508,1.5376,-0.1991,2.703,27.82
C,L4,GAT,30,120,0.3171,-0.4222,-0.4522,1.1742,-0.5508,2.703,27.82
C,L5,GAT,0,120,1.6138,0.9484,0.9647,2.3006,0.8754,3.016,19.0
C,L5,GAT,5,120,1.404,0.8227,0.7575,2.0818,0.6702,3.016,19.0
C,L5,GAT,10,120,1.194,0.6534,0.5487,1.8633,0.465,3.016,19.0
C,L5,GAT,15,120,0.9841,0.5004,0.3388,1.6459,0.2598,3.016,19.0
C,L5,GAT,20,120,0.774,0.3515,0.13,1.4354,0.0546,3.016,19.0
C,L5,GAT,30,120,0.3535,0.0541,-0.303,1.01,-0.3558,3.016,19.0
C,L5s,SAGE-Mean,0,87,-0.0342,-0.0178,-0.8301,0.7223,-0.0625,2.783,15.59
C,L5s,SAGE-Mean,5,87,-0.2398,-0.0972,-1.0399,0.5153,-0.2652,2.783,15.59
C,L5s,SAGE-Mean,10,87,-0.446,-0.2852,-1.251,0.3096,-0.4686,2.783,15.59
C,L5s,SAGE-Mean,15,87,-0.653,-0.3742,-1.468,0.1083,-0.6728,2.783,15.59
C,L5s,SAGE-Mean,20,87,-0.8608,-0.553,-1.6874,-0.0936,-0.8781,2.783,15.59
C,L5s,SAGE-Mean,30,87,-1.2801,-0.8974,-2.1394,-0.5019,-1.2926,2.783,15.59
C,L6,GAT,0,120,1.1379,1.1447,0.229,1.9718,0.5873,2.85,23.91
C,L6,GAT,5,120,0.9341,0.9367,0.0156,1.7771,0.3797,2.85,23.91
C,L6,GAT,10,120,0.7318,0.7063,-0.2027,1.5747,0.1737,2.85,23.91
C,L6,GAT,15,120,0.5302,0.5506,-0.4185,1.3792,-0.0315,2.85,23.91
C,L6,GAT,20,120,0.3286,0.4433,-0.6284,1.1753,-0.2367,2.85,23.91
C,L6,GAT,30,120,-0.0763,0.2005,-1.0336,0.7713,-0.6487,2.85,23.91
C,L7,HATS-3R-adapt,0,120,0.8825,0.4537,-0.4205,1.9462,0.1513,2.829,45.88
C,L7,HATS-3R-adapt,5,120,0.6346,0.3186,-0.7202,1.7324,-0.1014,2.829,45.88
C,L7,HATS-3R-adapt,10,120,0.378,0.1578,-1.0792,1.504,-0.3634,2.829,45.88
C,L7,HATS-3R-adapt,15,120,0.1099,0.0005,-1.4248,1.2832,-0.6376,2.829,45.88
C,L7,HATS-3R-adapt,20,120,-0.1734,-0.1298,-1.828,1.0741,-0.9281,2.829,45.88
C,L7,HATS-3R-adapt,30,120,-0.8071,-0.3406,-2.8559,0.65,-1.5813,2.829,45.88
